,Vdc,Idc,Pac
2019-08-05 06:45:00+00:00,575.0,5.5599999428,2678.0
2019-08-05 07:00:00+00:00,575.0,6.0999999046,2985.0
2019-08-05 07:15:00+00:00,579.0,7.1199998856,3584.0
2019-08-05 07:30:00+00:00,580.0,8.3400001526,4308.0
2019-08-05 07:45:00+00:00,582.0,9.8800001144,5195.0
2019-08-05 08:00:00+00:00,583.0,11.0900001526,5906.0
2019-08-05 08:15:00+00:00,587.0,13.1199998856,7141.0
2019-08-05 08:30:00+00:00,588.0,16.1100006104,8887.0
2019-08-05 08:45:00+00:00,588.0,19.6100006104,10926.0
2019-08-05 09:00:00+00:00,587.0,23.7000007629,13297.0
2019-08-05 09:15:00+00:00,583.0,24.2000007629,13496.0
2019-08-05 09:30:00+00:00,583.0,27.75,15541.0
2019-08-05 09:45:00+00:00,579.0,33.4000015259,18713.0
2019-08-05 10:00:00+00:00,574.0,38.4700012207,21474.0
2019-08-05 10:15:00+00:00,569.0,46.6699981689,25905.0
2019-08-05 10:30:00+00:00,560.0,53.5699996948,29293.0
2019-08-05 10:45:00+00:00,554.0,61.1300010681,33136.0
2019-08-05 11:00:00+00:00,546.0,64.6100006104,34542.0
2019-08-05 11:15:00+00:00,536.0,81.0,42557.0
2019-08-05 11:30:00+00:00,515.0,106.1299972534,53611.0
2019-08-05 11:45:00+00:00,505.0,98.5199966431,48923.0
2019-08-05 12:00:00+00:00,512.0,96.7900009155,48614.0
2019-08-05 12:15:00+00:00,501.0,103.8600006104,51187.0
2019-08-05 12:30:00+00:00,514.0,78.7300033569,39744.0
2019-08-05 12:45:00+00:00,527.0,64.8300018311,33648.0
2019-08-05 13:00:00+00:00,538.0,68.4199981689,36205.0
2019-08-05 13:15:00+00:00,531.0,65.3899993896,34120.0
2019-08-05 13:30:00+00:00,545.0,40.7700004578,21707.0
2019-08-05 13:45:00+00:00,556.0,33.5200004578,18140.0
2019-08-05 14:00:00+00:00,561.0,34.5699996948,18911.0
2019-08-05 14:15:00+00:00,557.0,46.6800003052,25492.0
2019-08-05 14:30:00+00:00,556.0,54.5800018311,29707.0
2019-08-05 14:45:00+00:00,544.0,76.6100006104,40932.0
2019-08-05 15:00:00+00:00,525.0,89.8499984741,46401.0
2019-08-05 15:15:00+00:00,529.0,76.8099975586,39958.0
2019-08-05 15:30:00+00:00,539.0,60.0299987793,31822.0
2019-08-05 15:45:00+00:00,538.0,75.2399978638,39825.0
2019-08-05 16:00:00+00:00,538.0,69.6399993896,36852.0
2019-08-05 16:15:00+00:00,541.0,64.6500015259,34368.0
2019-08-05 16:30:00+00:00,547.0,61.0699996948,32779.0
2019-08-05 16:45:00+00:00,550.0,44.8499984741,24137.0
2019-08-05 17:00:00+00:00,548.0,14.470000267,7519.0
2019-08-05 17:15:00+00:00,563.0,14.0699996948,7520.0
2019-08-05 17:30:00+00:00,556.0,10.0699996948,5168.0
