,Vdc,Idc,Pac,Pdc
2019-09-09 08:30:00+02:00,563.8095238095239,3.2699999809,1340.9995434741438,1843.657132088381
2019-09-09 08:45:00+02:00,586.6666666666666,3.9100000858,1783.374315240192,2293.8667170026665
2019-09-09 09:00:00+02:00,597.1428571428571,6.230000019099999,3179.0588379461224,3720.200011405428
2019-09-09 09:15:00+02:00,600.0,10.2100000381,5557.223857107908,6126.00002286
2019-09-09 09:30:00+02:00,600.9523809523811,15.7899999619,8904.002510272405,9489.038072341811
2019-09-09 09:45:00+02:00,608.5714285714286,23.1200008392,13480.214847627622,14070.17193928457
2019-09-09 10:00:00+02:00,603.8095238095239,36.1399993896,21174.217179296247,21821.67582191086
2019-09-09 10:15:00+02:00,588.5714285714286,21.3799991608,11983.247408840174,12583.656648928
2019-09-09 10:30:00+02:00,595.2380952380952,29.2900009155,16843.966774052922,17434.524354464284
2019-09-09 10:45:00+02:00,586.6666666666666,42.2900009155,24143.855384118968,24810.133870426667
2019-09-09 11:00:00+02:00,577.1428571428571,52.069999694799996,29320.001208217036,30051.828395284567
2019-09-09 11:15:00+02:00,559.047619047619,49.0,26693.734414619885,27393.333333333332
2019-09-09 11:30:00+02:00,564.7619047619048,39.5999984741,21702.732423019537,22364.570566801238
2019-09-09 11:45:00+02:00,558.0952380952381,63.0,34373.35237876111,35160.0
2019-09-09 12:00:00+02:00,547.6190476190476,44.4799995422,23679.44064088035,24358.094987395234
2019-09-09 12:15:00+02:00,552.3809523809524,63.11000061039999,34082.8885591759,34860.762241935234
2019-09-09 12:30:00+02:00,535.2380952380952,64.9000015259,33962.93415629612,34736.953197672185
2019-09-09 12:45:00+02:00,527.6190476190476,83.7799987793,43323.10659944478,44203.92316545924
2019-09-09 13:00:00+02:00,526.6666666666666,53.68999862670001,27560.022001167647,28276.732610062005
2019-09-09 13:15:00+02:00,541.9047619047619,42.7799987793,22505.751174581477,23182.685052782574
2019-09-09 13:30:00+02:00,541.9047619047619,69.1999969482,36652.80808520122,37499.80787002457
2019-09-09 13:45:00+02:00,530.4761904761905,64.1100006104,33239.42770587511,34008.828895231236
2019-09-09 14:00:00+02:00,524.7619047619048,75.1200027466,38576.437847678,39420.11572702533
2019-09-09 14:15:00+02:00,526.6666666666666,73.4899978638,37875.1663273206,38704.732208268
2019-09-09 14:30:00+02:00,523.8095238095239,77.9499969482,39992.92984132154,40830.95078239048
2019-09-09 14:45:00+02:00,520.0,86.2200012207,43947.64453569557,44834.400634764
2019-09-09 15:00:00+02:00,512.3809523809524,86.8499984741,43612.75084190769,44500.284932443625
2019-09-09 15:15:00+02:00,515.2380952380952,86.0,43425.926970225104,44310.47619047618
2019-09-09 15:30:00+02:00,513.3333333333334,83.9899978638,42242.978384348324,43114.865570084
2019-09-09 15:45:00+02:00,515.2380952380952,70.1399993896,35327.69846865523,36138.79968549866
2019-09-09 16:00:00+02:00,528.5714285714286,53.5099983215,27566.96508868208,28283.85625565
2019-09-09 16:15:00+02:00,537.1428571428571,45.3699989319,23693.855872956203,24370.17085484914
2019-09-09 16:30:00+02:00,544.7619047619048,44.6100006104,23623.013035206077,24301.828903951242
2019-09-09 16:45:00+02:00,546.6666666666666,51.9000015259,27653.911897903577,28372.000834158665
2019-09-09 17:00:00+02:00,539.047619047619,64.4000015259,33941.14502455565,34714.667489199426
2019-09-09 17:15:00+02:00,540.0,48.2599983215,25367.242181196998,26060.399093609998
2019-09-09 17:30:00+02:00,546.6666666666666,40.5800018311,21525.568337243818,22183.734334334666
2019-09-09 17:45:00+02:00,553.3333333333334,41.0699996948,22060.976386534563,22725.39983112267
2019-09-09 18:00:00+02:00,561.9047619047619,31.8199996948,17279.785622138967,17879.80935231619
2019-09-09 18:15:00+02:00,557.1428571428571,21.0400009155,11146.482440028274,11722.286224349999
2019-09-09 18:30:00+02:00,549.5238095238095,14.5,7423.9005885823735,7968.095238095238
2019-09-09 18:45:00+02:00,543.8095238095239,8.6700000763,4168.0652804889505,4714.828612921238
2019-09-09 19:00:00+02:00,546.6666666666666,7.4800000191,3533.229309759862,4089.066677108
2019-09-09 19:15:00+02:00,553.3333333333334,9.279999733,4583.151674997617,5134.933185593334
2019-09-09 19:30:00+02:00,554.2857142857143,9.0799999237,4479.780940145711,5032.914243422287
2019-09-09 19:45:00+02:00,540.0,5.909999847399999,2670.584502772948,3191.3999175959993
2019-09-09 20:00:00+02:00,523.8095238095239,3.3800001144,1278.6906743465163,1770.4762504000003
2019-09-09 20:15:00+02:00,499.04761904761904,1.7000000477000001,387.3322199577134,848.3809761855239
2019-09-09 20:30:00+02:00,564.0,-0.0099999998,-0.8465889511667017,-5.639999887199999
2019-09-09 20:45:00+02:00,,,,
2019-09-09 21:00:00+02:00,,,,
2019-09-09 21:15:00+02:00,,,,
2019-09-09 21:30:00+02:00,,,,
2019-09-09 21:45:00+02:00,,,,
2019-09-09 22:00:00+02:00,,,,
2019-09-09 22:15:00+02:00,,,,
2019-09-09 22:30:00+02:00,,,,
2019-09-09 22:45:00+02:00,,,,
2019-09-09 23:00:00+02:00,,,,
2019-09-09 23:15:00+02:00,,,,
2019-09-09 23:30:00+02:00,,,,
2019-09-09 23:45:00+02:00,,,,
2019-09-10 00:00:00+02:00,,,,
2019-09-10 00:15:00+02:00,,,,
2019-09-10 00:30:00+02:00,,,,
2019-09-10 00:45:00+02:00,,,,
2019-09-10 01:00:00+02:00,,,,
2019-09-10 01:15:00+02:00,,,,
2019-09-10 01:30:00+02:00,,,,
2019-09-10 01:45:00+02:00,,,,
2019-09-10 02:00:00+02:00,,,,
2019-09-10 02:15:00+02:00,,,,
2019-09-10 02:30:00+02:00,,,,
2019-09-10 02:45:00+02:00,,,,
2019-09-10 03:00:00+02:00,,,,
2019-09-10 03:15:00+02:00,,,,
2019-09-10 03:30:00+02:00,,,,
2019-09-10 03:45:00+02:00,,,,
2019-09-10 04:00:00+02:00,,,,
2019-09-10 04:15:00+02:00,,,,
2019-09-10 04:30:00+02:00,,,,
2019-09-10 04:45:00+02:00,,,,
2019-09-10 05:00:00+02:00,,,,
2019-09-10 05:15:00+02:00,,,,
2019-09-10 05:30:00+02:00,,,,
2019-09-10 05:45:00+02:00,,,,
2019-09-10 06:00:00+02:00,,,,
2019-09-10 06:15:00+02:00,,,,
2019-09-10 06:30:00+02:00,,,,
2019-09-10 06:45:00+02:00,,,,
2019-09-10 07:00:00+02:00,,,,
2019-09-10 07:15:00+02:00,,,,
2019-09-10 07:30:00+02:00,,,,
2019-09-10 07:45:00+02:00,504.76190476190476,0.0399999991,2.8543560636370424,20.19047573619048
2019-09-10 08:00:00+02:00,557.1428571428571,0.3199999928,13.886479002708239,178.28571027428572
2019-09-10 08:15:00+02:00,460.95238095238096,1.5099999905000001,252.48140283582097,696.0380908590477
2019-09-10 08:30:00+02:00,521.9047619047619,2.1400001049,630.2956461825428,1116.876245224
2019-09-10 08:45:00+02:00,551.4285714285714,4.0,1691.7208446821205,2205.714285714286
2019-09-10 09:00:00+02:00,584.7619047619048,7.1300001144,3618.335715443606,4169.352447849143
2019-09-10 09:15:00+02:00,589.5238095238095,12.3500003815,6721.882310372956,7280.61927252238
